Subject,ROI,Condition,TTP_grand,PeakAmp_grand,Baseline,Peak_amp,Peak_time
SUB715,6,Cond1,4,1.8606180435692954,-0.036496932236205135,1.3598091122942881,4
SUB715,6,Cond2,4,1.8606180435692954,-0.026129165986394483,2.4523994521541934,4
SUB715,7,Cond1,4,1.8606180435692954,0.08924779947916651,2.0065057291666677,3
SUB715,7,Cond2,4,1.8606180435692954,0.009686750958607231,2.676378027893746,4
SUB716,1,Cond1,4,2.3330299055665336,0.007521537084398797,5.049435522591645,4
SUB716,1,Cond2,4,2.3330299055665336,0.043928690032858736,1.9976002789339173,4
SUB716,2,Cond1,4,2.3330299055665336,0.009921092307692354,6.155346890598287,4
SUB716,2,Cond2,4,2.3330299055665336,-0.21546768693009144,2.3628224974670724,4
SUB716,3,Cond1,4,2.3330299055665336,0.17304487855958284,4.038905030358823,4
SUB716,3,Cond2,4,2.3330299055665336,0.1650350394144145,2.1686200540540512,4
SUB716,4,Cond1,4,2.3330299055665336,-0.8964760697674419,6.275358410852714,4
SUB716,4,Cond2,4,2.3330299055665336,-0.019513594366197075,3.2776296281690143,4
SUB716,5,Cond1,4,2.3330299055665336,-0.020561844444444456,3.165778088888889,4
SUB716,5,Cond2,4,2.3330299055665336,0.10781629974142469,1.7539949803817054,4
SUB716,6,Cond1,4,2.3330299055665336,0.2628337250000001,12.103511574999997,4
SUB716,6,Cond2,4,2.3330299055665336,0.09814937049180328,3.5240518546448083,4
SUB716,7,Cond1,4,2.3330299055665336,0.0,0.0,3
SUB716,7,Cond2,4,2.3330299055665336,0.18063324197530864,4.701440407407407,4
SUB718,1,Cond1,4,1.8723626340357094,0.32917375304682495,3.161492482146676,4
SUB718,1,Cond2,4,1.8723626340357094,0.38212800315706325,2.820491409892133,4
SUB718,2,Cond1,4,1.8723626340357094,0.42928495994993804,2.7991700715477674,4
SUB718,2,Cond2,4,1.8723626340357094,0.32045442268041263,3.9266148880706875,4
SUB718,3,Cond1,4,1.8723626340357094,0.1450994843258284,1.7122848410234734,4
SUB718,3,Cond2,4,1.8723626340357094,0.14620197158570122,1.798352736327528,4
SUB718,4,Cond1,4,1.8723626340357094,0.49188414000000014,2.112817489066667,4
SUB718,4,Cond2,4,1.8723626340357094,0.29964713903345713,2.0637329449814104,4
SUB718,5,Cond1,4,1.8723626340357094,0.22227208933665737,1.0374152209030365,4
SUB718,5,Cond2,4,1.8723626340357094,0.25766895138121587,1.4208946088397771,4
SUB718,6,Cond1,4,1.8723626340357094,0.49538270775347854,2.741049577534792,4
SUB718,6,Cond2,4,1.8723626340357094,0.236195788113695,1.7621116619293709,4
SUB718,7,Cond1,4,1.8723626340357094,0.3785333897058827,1.484938792892157,4
SUB718,7,Cond2,4,1.8723626340357094,0.21267671345029213,1.7170218440545806,4
SUB719,1,Cond1,4,1.6978038718678758,0.5096685226337448,3.467807290809327,5
SUB719,1,Cond2,4,1.6978038718678758,0.46070733088235316,1.5502429497549022,4
SUB719,2,Cond1,4,1.6978038718678758,0.46738990158730187,2.014027587301587,4
SUB719,2,Cond2,4,1.6978038718678758,0.7620133962264147,2.2252303259958075,4
SUB719,3,Cond1,4,1.6978038718678758,0.6854322906976743,1.5647242519379847,4
SUB719,3,Cond2,4,1.6978038718678758,0.17156948275862074,1.777069105363984,4
SUB719,4,Cond1,4,1.6978038718678758,0.6245934200913247,2.637860153729071,5
SUB719,4,Cond2,4,1.6978038718678758,0.3848644476843911,1.6747632275586053,4
SUB719,5,Cond1,4,1.6978038718678758,0.2615394383561644,2.0593052876712328,4
SUB719,5,Cond2,4,1.6978038718678758,0.8260820379746837,1.5104679999999995,4
SUB719,6,Cond1,4,1.6978038718678758,0.27521510081743883,2.00494540599455,4
SUB719,6,Cond2,4,1.6978038718678758,0.1236809951100245,1.5935305810920943,4
SUB719,7,Cond1,4,1.6978038718678758,0.5001664391534392,1.683528012345679,4
SUB719,7,Cond2,4,1.6978038718678758,-0.4313961777777779,1.475084681481482,4
SUB720,1,Cond1,4,1.0930011787101999,0.20950311912835132,1.3688980798123958,4
SUB720,1,Cond2,4,1.0930011787101999,0.2938716324404759,1.5761095195932537,4
SUB720,2,Cond1,4,1.0930011787101999,0.23796099456029007,1.3509641036566942,4
SUB720,2,Cond2,4,1.0930011787101999,0.21621440875782097,1.3927124657965442,4
SUB720,3,Cond1,4,1.0930011787101999,0.12113106404494382,1.3151087943820226,4
